Year,Month,Expense Category,Expense Name,Amount Due,Due Date,Amount Paid,Payment Date,Payment Method
2022,January,CCBill,Power,278.04,29,68.63,2022-01-27,Bank Draft
2022,January,Utility,Power,169.13,2,17.97,2022-01-10,Bank Draft
2022,January,Mortgage,Power,266.11,18,94.16,2022-01-30,Bank Draft
2022,January,Misc,Power,343.79,7,246.4,2022-01-03,Bank Draft
2022,February,CCBill,Water,169.46,10,122.56,2022-02-11,Bank Draft
2022,February,Utility,Water,106.05,17,87.41,2022-02-08,Bank Draft
2022,February,Mortgage,Internet,479.76,23,76.5,2022-02-15,Bank Draft
2022,February,Misc,Chase,52.12,11,48.06,2022-02-22,Bank Draft
2022,March,CCBill,House2,40.01,31,38.36,2022-03-10,Bank Draft
2022,March,Utility,Internet,82.67,23,1.5,2022-03-13,Bank Draft
2022,March,Mortgage,Chase,335.91,1,117.73,2022-03-24,Bank Draft
2022,March,Misc,Chase,392.68,26,229.87,2022-03-20,Bank Draft
2022,April,CCBill,House1,314.6,10,68.96,2022-04-21,Bank Draft
2022,April,Utility,Water,412.88,10,239.91,2022-04-05,Bank Draft
2022,April,Mortgage,Power,201.25,15,36.28,2022-04-16,Bank Draft
2022,April,Misc,Power,353.97,7,23.05,2022-04-01,Bank Draft
2022,May,CCBill,Power,492.76,1,412.72,2022-05-15,Bank Draft
2022,May,Utility,Internet,328.14,5,68.47,2022-05-05,Bank Draft
2022,May,Mortgage,House2,87.11,30,11.15,2022-05-27,Bank Draft
2022,May,Misc,Amex,428.15,8,27.79,2022-05-11,Bank Draft
2022,June,CCBill,House1,126.42,1,46.53,2022-06-26,Bank Draft
2022,June,Utility,House1,468.98,25,161.06,2022-06-05,Bank Draft
2022,June,Mortgage,Power,348.3,24,162.9,2022-06-09,Bank Draft
2022,June,Misc,House2,65.69,9,35.27,2022-06-23,Bank Draft
2022,July,CCBill,House1,297.8,8,152.89,2022-07-25,Bank Draft
2022,July,Utility,Amex,424.68,22,133.7,2022-07-01,Bank Draft
2022,July,Mortgage,Chase,194.6,2,158.59,2022-07-11,Bank Draft
2022,July,Misc,Chase,158.69,29,106.23,2022-07-21,Bank Draft
2022,August,CCBill,Power,244.99,15,77.2,2022-08-21,Bank Draft
2022,August,Utility,Chase,278.82,31,76.56,2022-08-03,Bank Draft
2022,August,Mortgage,House2,288.55,31,32.49,2022-08-12,Bank Draft
2022,August,Misc,Power,371.87,13,323.56,2022-08-09,Bank Draft
2022,September,CCBill,House2,329.6,9,109.87,2022-09-11,Bank Draft
2022,September,Utility,Amex,317.96,9,179.68,2022-09-16,Bank Draft
2022,September,Mortgage,Chase,15.17,17,0.85,2022-09-10,Bank Draft
2022,September,Misc,Power,241.14,10,21.76,2022-09-25,Bank Draft
2022,October,CCBill,Power,343.18,29,138.33,2022-10-24,Bank Draft
2022,October,Utility,Chase,477.04,21,118.65,2022-10-21,Bank Draft
2022,October,Mortgage,Power,212.17,2,35.02,2022-10-09,Bank Draft
2022,October,Misc,Chase,11.73,1,3.97,2022-10-11,Bank Draft
2022,November,CCBill,Power,333.47,27,88.28,2022-11-24,Bank Draft
2022,November,Utility,Amex,386.95,27,330.15,2022-11-12,Bank Draft
2022,November,Mortgage,House1,353.27,25,65.19,2022-11-09,Bank Draft
2022,November,Misc,House2,331.91,19,185.64,2022-11-16,Bank Draft
2022,December,CCBill,Internet,492.63,31,290.03,2022-12-09,Bank Draft
2022,December,Utility,Internet,266.6,2,148.12,2022-12-16,Bank Draft
2022,December,Mortgage,House2,492.28,7,331.29,2022-12-18,Bank Draft
2022,December,Misc,Internet,131.57,25,74.16,2022-12-09,Bank Draft
